input,output,processed_input,difficulty,token_length
"generate question: Algebra and Trigonometry provides a comprehensive exploration of algebraic principles and meets scope and sequence requirements for a typical introductory algebra and trigonometry course. The modular approach and the richness of content ensure that the book meets the needs of a variety of courses. Algebra and Trigonometry offers a wealth of examples with detailed, conceptual explanations, building a strong foundation in the material before asking students to apply what they’ve learned.",What topics are covered in 'Algebra and Trigonometry'?,"Algebra and Trigonometry provides a comprehensive exploration of algebraic principles and meets scope and sequence requirements for a typical introductory algebra and trigonometry course. The modular approach and the richness of content ensure that the book meets the needs of a variety of courses. Algebra and Trigonometry offers a wealth of examples with detailed, conceptual explanations, building a strong foundation in the material before asking students to apply what they’ve learned.",hard,71
"generate question: Algebra and Trigonometry 2e provides a comprehensive exploration of mathematical principles and meets scope and sequence requirements for a typical introductory algebra and trigonometry course. The modular approach and the richness of content ensure that the book addresses the needs of a variety of courses. Algebra and Trigonometry 2e offers a wealth of examples with detailed, conceptual explanations, building a strong foundation in the material before asking students to apply what they’v",What topics are covered in 'Algebra and Trigonometry 2e'?,"Algebra and Trigonometry 2e provides a comprehensive exploration of mathematical principles and meets scope and sequence requirements for a typical introductory algebra and trigonometry course. The modular approach and the richness of content ensure that the book addresses the needs of a variety of courses. Algebra and Trigonometry 2e offers a wealth of examples with detailed, conceptual explanations, building a strong foundation in the material before asking students to apply what they’v",hard,72
"generate question: American Government is designed to meet the scope and sequence requirements of the single-semester American government course. This title includes innovative features designed to enhance student learning, including Insider Perspective features and a Get Connected Module that shows students how they can get engaged in the political process. The book provides an important opportunity for students to learn the core concepts of American government and understand how those concepts apply to th",What topics are covered in 'American Government'?,"American Government is designed to meet the scope and sequence requirements of the single-semester American government course. This title includes innovative features designed to enhance student learning, including Insider Perspective features and a Get Connected Module that shows students how they can get engaged in the political process. The book provides an important opportunity for students to learn the core concepts of American government and understand how those concepts apply to th",hard,72
"generate question: American Government 2e is designed to meet the scope and sequence requirements of the single-semester American Government course. This title includes innovative features designed to enhance student learning, including Insider Perspective features and a Get Connected module that shows students how they can get engaged in the political process. The book provides an important opportunity for students to learn the core concepts of American Government and understand how those concepts apply to",What topics are covered in 'American Government 2e'?,"American Government 2e is designed to meet the scope and sequence requirements of the single-semester American Government course. This title includes innovative features designed to enhance student learning, including Insider Perspective features and a Get Connected module that shows students how they can get engaged in the political process. The book provides an important opportunity for students to learn the core concepts of American Government and understand how those concepts apply to",hard,72
"generate question: American Government 3e aligns with the topics and objectives of many government courses. Faculty involved in the project have endeavored to make government workings, issues, debates, and impacts meaningful and memorable to students while maintaining the conceptual coverage and rigor inherent in the subject. With this objective in mind, the content of this textbook has been developed and arranged to provide a logical progression from the fundamental principles of institutional design at th",What topics are covered in 'American Government 3e'?,"American Government 3e aligns with the topics and objectives of many government courses. Faculty involved in the project have endeavored to make government workings, issues, debates, and impacts meaningful and memorable to students while maintaining the conceptual coverage and rigor inherent in the subject. With this objective in mind, the content of this textbook has been developed and arranged to provide a logical progression from the fundamental principles of institutional design at th",hard,73
"generate question: Anatomy and Physiology is a dynamic textbook for the two-semester human anatomy and physiology course for life science and allied health majors. The book is organized by body system and covers standard scope and sequence requirements. Its lucid text, strategically constructed art, career features, and links to external learning tools address the critical teaching and learning challenges in the course. The web-based version of Anatomy and Physiology also features links to surgical videos, ",What topics are covered in 'Anatomy and Physiology'?,"Anatomy and Physiology is a dynamic textbook for the two-semester human anatomy and physiology course for life science and allied health majors. The book is organized by body system and covers standard scope and sequence requirements. Its lucid text, strategically constructed art, career features, and links to external learning tools address the critical teaching and learning challenges in the course. The web-based version of Anatomy and Physiology also features links to surgical videos,",hard,73
"generate question: Anatomy and Physiology 2e is developed to meet the scope and sequence for a two-semester human anatomy and physiology course for life science and allied health majors. The book is organized by body systems. The revision focuses on inclusive and equitable instruction and includes new student support. Illustrations have been extensively revised to be clearer and more inclusive. The web-based version of Anatomy and Physiology 2e also features links to surgical videos, histology, and interact",What topics are covered in 'Anatomy and Physiology 2e'?,"Anatomy and Physiology 2e is developed to meet the scope and sequence for a two-semester human anatomy and physiology course for life science and allied health majors. The book is organized by body systems. The revision focuses on inclusive and equitable instruction and includes new student support. Illustrations have been extensively revised to be clearer and more inclusive. The web-based version of Anatomy and Physiology 2e also features links to surgical videos, histology, and interact",hard,75
"generate question: The AP Physics Collection is a free, turnkey solution for your AP® Physics course, brought to you through a collaboration between OpenStax and Rice Online Learning. The integrated collection features the OpenStax College Physics for AP® Courses text, Concept Trailer videos, instructional videos, problem solution videos, and a correlation guide to help you align all of your free content.The College Physics for AP® Courses text is designed to engage students in their exploration of physics ",What topics are covered in 'The AP Physics Collection'?,"The AP Physics Collection is a free, turnkey solution for your AP® Physics course, brought to you through a collaboration between OpenStax and Rice Online Learning. The integrated collection features the OpenStax College Physics for AP® Courses text, Concept Trailer videos, instructional videos, problem solution videos, and a correlation guide to help you align all of your free content.The College Physics for AP® Courses text is designed to engage students in their exploration of physics",hard,75
"generate question: Astronomy is designed to meet the scope and sequence requirements of one- or two-semester introductory astronomy courses. The book begins with relevant scientific fundamentals and progresses through an exploration of the solar system, stars, galaxies, and cosmology. The Astronomy textbook builds student understanding through the use of relevant analogies, clear and non-technical explanations, and rich illustrations. Mathematics is included in a flexible manner to meet the needs of individ",What topics are covered in 'Astronomy'?,"Astronomy is designed to meet the scope and sequence requirements of one- or two-semester introductory astronomy courses. The book begins with relevant scientific fundamentals and progresses through an exploration of the solar system, stars, galaxies, and cosmology. The Astronomy textbook builds student understanding through the use of relevant analogies, clear and non-technical explanations, and rich illustrations. Mathematics is included in a flexible manner to meet the needs of individ",hard,69
"generate question: Designed to meet the scope and sequence of your course, Astronomy 2e is written in clear non-technical language, with the occasional touch of humor and a wide range of clarifying illustrations. It has many analogies drawn from everyday life to help non-science majors appreciate, on their own terms, what our modern exploration of the universe is revealing. The book can be used for either a one-semester or two-semester introductory course.The second edition has been updated according to new",What topics are covered in 'Astronomy 2e'?,"Designed to meet the scope and sequence of your course, Astronomy 2e is written in clear non-technical language, with the occasional touch of humor and a wide range of clarifying illustrations. It has many analogies drawn from everyday life to help non-science majors appreciate, on their own terms, what our modern exploration of the universe is revealing. The book can be used for either a one-semester or two-semester introductory course.The second edition has been updated according to new",hard,78
"generate question: Biology is designed to cover the scope and sequence requirements of a typical two-semester biology course for science majors. The text provides comprehensive coverage of foundational research and core biology concepts through an evolutionary lens. Biology includes rich features that engage students in scientific inquiry, highlight careers in the biological sciences, and offer everyday applications. The book also includes clicker questions to help students understand—and apply—key concepts",What topics are covered in 'Biology'?,"Biology is designed to cover the scope and sequence requirements of a typical two-semester biology course for science majors. The text provides comprehensive coverage of foundational research and core biology concepts through an evolutionary lens. Biology includes rich features that engage students in scientific inquiry, highlight careers in the biological sciences, and offer everyday applications. The book also includes clicker questions to help students understand—and apply—key concepts",hard,67
"generate question: Biology 2e is designed to cover the scope and sequence requirements of a typical two-semester biology course for science majors. The text provides comprehensive coverage of foundational research and core biology concepts through an evolutionary lens. Biology includes rich features that engage students in scientific inquiry, highlight careers in the biological sciences, and offer everyday applications. The book also includes various types of practice and homework questions that help studen",What topics are covered in 'Biology 2e'?,"Biology 2e is designed to cover the scope and sequence requirements of a typical two-semester biology course for science majors. The text provides comprehensive coverage of foundational research and core biology concepts through an evolutionary lens. Biology includes rich features that engage students in scientific inquiry, highlight careers in the biological sciences, and offer everyday applications. The book also includes various types of practice and homework questions that help studen",hard,70
generate question: Biology for AP® Courses covers the scope and sequence requirements of a typical two-semester Advanced Placement® biology course. The text provides comprehensive coverage of foundational research and core biology concepts through an evolutionary lens. Biology for AP® Courses was designed to meet and exceed the requirements of the College Board’s AP® Biology framework while allowing significant flexibility for instructors. Each section of the book includes an introduction based on the AP® c,What topics are covered in 'Biology for AP® Courses'?,Biology for AP® Courses covers the scope and sequence requirements of a typical two-semester Advanced Placement® biology course. The text provides comprehensive coverage of foundational research and core biology concepts through an evolutionary lens. Biology for AP® Courses was designed to meet and exceed the requirements of the College Board’s AP® Biology framework while allowing significant flexibility for instructors. Each section of the book includes an introduction based on the AP® c,hard,72
